Player_ID,First_Name,Last_Name,Current_Team_ID,Current_Team_Full_Name,Current_Team_Name,Position,Current_Team_Abbr,Current_Team_City,Current_Team_Conf,Current_Team_Div
2983,Reggie,Williams,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2984,Sean,Elliott,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2985,Sean,Higgins,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2986,Sidney,Green,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2987,Terry,Cummings,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2988,Tony,Massenburg,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2989,A.C.,Green,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2990,Byron,Scott,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2991,Elden,Campbell,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2992,James,Worthy,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2993,Larry,Drew,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2994,Magic,Johnson,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2995,Mychal,Thompson,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2996,Sam,Perkins,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2997,Terry,Teagle,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2998,Vlade,Divac,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
2999,John,Shasky,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
3000,Randy,White,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
3001,Steve,Alford,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
3002,Greg,Butler,13,LA Clippers,Clippers,,LAC,LA,West,Pacific
3003,Steve,Scheffler,4,Charlotte Hornets,Hornets,,CHA,Charlotte,East,Southeast
3004,Les,Jepsen,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
3005,Mike,Smrek,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
3006,Danny,Manning,13,LA Clippers,Clippers,,LAC,LA,West,Pacific
3007,Mark,McNamara,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
3008,Steve,Kerr,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
3009,Kennard,Winchester,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
3010,Rick,Calloway,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3011,Travis,Mays,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3012,Trevor,Wilson,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
3013,Tony,Brown,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
3014,Randolph,Keys,4,Charlotte Hornets,Hornets,,CHA,Charlotte,East,Southeast
3015,Benoit,Benjamin,13,LA Clippers,Clippers,,LAC,LA,West,Pacific
3016,Byron,Dinkins,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
3017,Dwayne,Schintzius,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
3018,Kenny,Payne,23,Philadelphia 76ers,76ers,,PHI,Philadelphia,East,Atlantic
3019,Greg,Grant,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
3020,Tony,Smith,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
3021,Nate,McMillan,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
3022,Rod,Strickland,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
3023,Mahmoud,Abdul-Rauf,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
3024,Scott,Meents,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
3025,Jim,Petersen,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
3026,Bob,Thornton,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
3027,Drazen,Petrovic,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
3028,Kurt,Rambis,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
3029,Jon,Koncak,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
3030,Stojko,Vrankovic,2,Boston Celtics,Celtics,,BOS,Boston,East,Atlantic
3031,Cedric,Ball,13,LA Clippers,Clippers,,LAC,LA,West,Pacific
3032,Andrew,Lang,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
3033,Bart,Kofoed,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
3034,Jim,Farmer,23,Philadelphia 76ers,76ers,,PHI,Philadelphia,East,Atlantic
3035,Dave,Corzine,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
3036,Buck,Johnson,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
3037,Milos,Babic,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
3038,Negele,Knight,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
3039,Willie,Anderson,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
